MaskPath,LabelName,BoxXMin,BoxXMax,BoxYMin,BoxYMax
d0ed76e0533a914d_m01xyhv_cffd8afa.png,Suit,0.122966,0.958409,0.389892,0.998195
fba940ee0203b368_m08pbxl_13094a08.png,Monkey,0.460938,0.551562,0.387500,0.572917
589f9933684521e7_m01f8m5_a79627f3.png,Blue jay,0.056657,0.526912,0.271264,0.749425
37b41771313c0601_m04yx4_0692e7be.png,Man,0.000000,1.000000,0.172859,1.000000
aa97660f4d3a64ae_m01gkx__7426aef2.png,Swimwear,0.674779,1.000000,0.268437,1.000000
fdd8d766b0245ec2_m09728_5326bdd6.png,Bread,0.001475,0.300885,0.168142,0.626106
34e16c5c17291648_m03k3r_93382438.png,Horse,0.394286,0.617143,0.207386,0.875000
5e4722478ab9c699_m01dws_cef6c599.png,Bear,0.358407,0.849558,0.033186,0.657080
1ce724435658dd46_m09j2d_a5c52f0f.png,Clothing,0.845133,1.000000,0.157080,0.849558
32cee06e984fc20b_m021mn_af0a8e82.png,Cookie,0.803835,1.000000,0.400442,0.626106
b1050136fffbe8ff_m01bqk0_a864a466.png,Bicycle wheel,0.510324,0.766962,0.579646,0.896018
138226651ff65386_m01h8tj_ef3b0983.png,Starfish,0.256250,0.932813,0.054167,0.966667
c674f393f2548cb9_m0f6wt_f09ba7e0.png,Falcon,0.129794,0.638643,0.042035,0.957965
f868c27b6d8a11b8_m09k_b_a497666a.png,Lemon,0.551136,0.997159,0.000000,0.531250
e314453d92c3ac58_m02vqfm_425b8a9d.png,Coffee,0.339063,0.678125,0.158333,0.420833
9f2e428aade556fa_m03q5c7_a175942e.png,Saucer,0.362687,0.682090,0.628821,0.709607
0ec4b1c27046c4ca_m04dr76w_f94bd492.png,Bottle,0.462500,0.789583,0.059375,0.948438
535f6ac27e88e6d6_m084rd_c0c7b482.png,Wok,0.085938,0.975000,0.091667,0.997917
053ed02dae6b1e1e_m0fm3zh_16ec9361.png,Flowerpot,0.256250,0.779688,0.729167,1.000000
a29e85514998dff0_m0cyhj__359415f2.png,Orange,0.629687,0.779688,0.093750,0.258333
8de856836cf94392_m0271t_e69f3147.png,Drink,0.304167,0.820833,0.054688,0.642187
46a4b59585f50ed5_m06y5r_9a2764a1.png,Sword,0.013825,0.753456,0.058943,0.985772
ec330a456dc503b7_m01599_f3996326.png,Beer,0.120000,0.904000,0.044496,0.971897
83d4e7afd10210de_m04dr76w_f2f13f23.png,Bottle,0.144543,0.725664,0.103982,0.995575
5c11918fdd62f59d_m06pcq_c95d63a1.png,Submarine sandwich,0.001805,1.000000,0.009025,0.998195
fd2eeb683f461525_m025dyy_6788cc9a.png,Box,0.086892,0.926362,0.345133,0.889381
07d8788ca0b038b5_m02rgn06_9078364b.png,Volleyball (Ball),0.595133,0.692478,0.202065,0.268437
4f2c8c4c528abe2e_m0342h_d42b6b94.png,Guitar,0.010937,0.128125,0.316667,0.787500
e5bcb3d2b2484d51_m0fly7_1c8387fa.png,Jeans,0.695219,0.830677,0.001637,0.148936
27caa90f83cd2444_m03d443_5f020680.png,Rhinoceros,0.066176,0.542647,0.303769,0.671840
d7bdde0ccf91fef5_m01m2v_42ed5204.png,Computer keyboard,0.023438,0.981250,0.375000,0.883333
6d261123912ce177_m029bxz_fc7dc710.png,Oven,0.581100,0.698166,0.471132,0.801386
9ea27c73dc7d75d9_m0gv1x_69d0c3cf.png,Parrot,0.418750,0.821875,0.291667,0.908333
4039bbc7f27fd5bc_m0138tl_fd8e9492.png,Toy,0.157813,0.982813,0.000000,0.997917
b19fc8ed5f04f0e6_m0c29q_e36a37d0.png,Leopard,0.045588,0.822059,0.246120,1.000000
cd6ba3f480f3aec2_m01lrl_31793d6d.png,Carnivore,0.000000,1.000000,0.000000,1.000000
1b5a9c6d3b5640d3_m0138tl_aa69269d.png,Toy,0.042188,0.907812,0.025000,0.968750
a859ee74b33d7f31_m02g30s_89e97496.png,Guacamole,0.323105,0.781588,0.806859,1.000000
19da2d7a2501293a_m05kyg__5e8bd17e.png,Chest of drawers,0.241071,0.772321,0.309489,0.451095
d97bc06394e67063_m0hnyx_c16e8bfa.png,Pastry,0.001563,0.510938,0.604167,0.997917
6ae2c17182cb0631_m01bqk0_8028cfa4.png,Bicycle wheel,0.557813,0.740625,0.481250,0.929167
f1a301a8c6508c93_m03bt1vf_e40731bc.png,Woman,0.000000,0.175000,0.330827,0.997494
439951d2c42e7e9c_m03c7gz_301904e2.png,Door handle,0.258964,0.735060,0.009820,0.990180
5ce9216feff668ac_m04m9y_409a7cc6.png,Lizard,0.159292,1.000000,0.168142,0.898230
84c51699547031ff_m01bfm9_43dda78c.png,Shorts,0.446903,0.617994,0.424779,0.599558
ef15c0f711dce796_m02l8p9_976596ba.png,Harbor seal,0.064725,0.788026,0.062500,1.000000
27c5ad1a85ddc354_m0by6g_3c868f86.png,Shark,0.168750,0.867188,0.000000,1.000000
0f90308274ab5bfe_m07fbm7_f87fa6f2.png,Strawberry,0.698671,0.760709,0.768212,0.841060
5685999a0dd3ea25_m0k4j_96f6f478.png,Car,0.000000,1.000000,0.161148,0.792494
800e2dba4df06c91_m01yx86_e4ab65c8.png,Bronze sculpture,0.202186,0.615665,0.205725,1.000000
53d7046e0fca9e40_m08pbxl_b9d6619b.png,Monkey,0.000000,1.000000,0.104687,1.000000
153d164e827a6716_m03fwl_3b0e6d15.png,Goat,0.060294,0.917647,0.037694,0.977827
9ab368a89c2651f8_m084zz_4750a4bb.png,Whale,0.286154,0.878462,0.207627,0.478814
2de8dfac07e58ba8_m07jdr_2ff571cd.png,Train,0.000000,0.892187,0.331250,1.000000
eea8f1f65a00a549_m0kmg4_3551fa1b.png,Teddy bear,0.034296,0.960289,0.023466,0.962094
1708339e11a61d96_m0fszt_c39cd507.png,Cake,0.000000,0.673285,0.000000,0.796029
838fa6db2b2ce06d_m01yrx_8c48abce.png,Cat,0.000000,0.998438,0.000000,0.995833
cc95828351f527d4_m01yrx_d4eba8fe.png,Cat,0.000000,0.771111,0.299559,1.000000
1586125abade827b_m01x_v_172c21e0.png,Camel,0.320704,0.833559,0.074699,0.997590
8ad7adb76cab5eea_m05r655_a55263a2.png,Girl,0.222714,1.000000,0.000000,1.000000
ac848ab3032cf387_m06m11_7fa249d9.png,Rose,0.107930,0.801762,0.177778,0.717037
0c40e6c281b143da_m09728_206adefe.png,Bread,0.004988,0.997506,0.096667,0.996667
60653f2bc1788af1_m0ph39_8a28c756.png,Canoe,0.000000,1.000000,0.575000,0.868750
09ea48613632d92c_m0gjkl_2aad82c3.png,Watch,0.296530,0.454259,0.132231,0.946281
7830e4c5bd4434fa_m081qc_63646fa1.png,Wine,0.446875,0.590625,0.500000,0.618750
fee02b0b03f90d5d_m0dj6p_2f06431a.png,Peach,0.841155,0.974729,0.023466,0.119134
1e8e97ae16cca52e_m04yx4_bf45c0b7.png,Man,0.239683,0.319048,0.186858,0.394251
07be078a07dda759_m0bt_c3_bfd331d8.png,Book,0.342183,0.809735,0.738938,1.000000
48fa4e0e3c8098c2_m0hqkz_519628a2.png,Grapefruit,0.530516,0.974961,0.268750,0.793750
cf34f1e95692eaff_m06msq_7789f4c6.png,Sculpture,0.250531,0.713376,0.122888,0.844854
cdee50717f906f4d_m058qzx_d582b438.png,Kitchen knife,0.073437,0.976562,0.056250,0.970833
09c1c18e1ca3f7c3_m01yrx_6225405b.png,Cat,0.094567,1.000000,0.000000,0.965217
e265824a0c340076_m01gkx__6d22076b.png,Swimwear,0.185294,0.430882,0.257206,1.000000
85ab9557100f0052_m04yx4_a022b815.png,Man,0.879056,0.957227,0.426991,0.610619
a8c06c58453adce3_m04m9y_5c07d23e.png,Lizard,0.084838,0.839350,0.184116,0.785199
35c67999f082e266_m01nq26_181910b4.png,Sock,0.200361,0.900722,0.000000,0.893502
07ca230691eec10e_m05z6w_c19f0343.png,Penguin,0.000000,0.466814,0.625369,1.000000
c758ccafa1e7b42b_m01m2v_03c0818f.png,Computer keyboard,0.120939,0.866426,0.611913,0.824910
6b161151c2efb5e0_m01g317_1abf0dee.png,Person,0.101620,0.807069,0.066519,0.578714
7506815fb4168c79_m07mhn_767d12e4.png,Trousers,0.358333,0.841667,0.539062,1.000000
e69f6f45d428d8c7_m03bbps_b3f43308.png,Power plugs and sockets,0.153430,0.832130,0.209386,0.734657
